decade,mean_lon,mean_lat,n_universities
1870,121.41315,31.22786,1
1890,115.65118122685715,34.36053018364286,14
1900,115.52639383575556,32.65723942817778,45
1910,115.94660787066667,33.56032616211111,18
1920,114.3883188548846,33.24904443646154,26
1930,113.9231874867143,30.985227433761906,21
1940,116.45676807650001,36.43472614032692,52
1950,114.61898126435582,33.85806993219018,163
1960,114.68612325539999,32.03716357253333,15
1970,112.43830540975,32.17581374375,36
1980,115.52102607484616,31.594370075871794,39
1990,114.76596533070968,29.20082280490323,31
2000,114.13901137158824,28.319811640529412,34
2010,119.33746500677778,29.481764532666666,9
2020,116.18516055,28.462061875,4
