province,macro_region,count,earliest,latest,has_coord_pct,population,population_year,univ_per_million
Jiangsu,East,50,1887.0,2012.0,62.0,84748016,2020,0.59
Guangdong,South,48,1906.0,2025.0,70.8,126012510,2020,0.381
Beijing,North,40,1917.0,1999.0,100.0,21893095,2020,1.827
Liaoning,Northeast,38,1906.0,2007.0,65.8,42591407,2020,0.892
Shandong,East,36,1891.0,2024.0,63.2,101527453,2020,0.355
Zhejiang,East,35,1897.0,2025.0,48.6,64567588,2020,0.542
Hubei,Central,32,1898.0,2003.0,56.2,57752557,2020,0.554
Sichuan,Southwest,31,1896.0,2003.0,67.7,83674866,2020,0.37
Shaanxi,Northwest,31,1895.0,2017.0,64.5,39528999,2020,0.784
Henan,Central,30,1901.0,2024.0,50.0,99365519,2020,0.302
Hunan,Central,29,1903.0,2003.0,89.7,66444864,2020,0.436
Hebei,North,27,1894.0,2004.0,48.1,74610235,2020,0.362
Fujian,East,21,1907.0,2025.0,85.7,41540086,2020,0.506
Jiangxi,East,21,1901.0,2001.0,52.4,45188635,2020,0.465
Anhui,East,21,1898.0,2025.0,57.1,61027171,2020,0.344
Heilongjiang,Northeast,18,1920.0,2016.0,72.2,31850088,2020,0.565
Jilin,Northeast,18,1906.0,1995.0,61.1,24073453,2020,0.748
Yunnan,Southwest,16,1922.0,2000.0,68.8,47209277,2020,0.339
Shanxi,North,14,1902.0,2009.0,42.9,34915616,2020,0.401
Hong Kong,South,12,1903.0,2010.0,83.3,7413070,2021,1.619
Guangxi,South,10,1928.0,2004.0,100.0,50126804,2020,0.199
Gansu,Northwest,10,1902.0,2003.0,60.0,25019831,2020,0.4
Xinjiang,Northwest,9,1924.0,2002.0,55.6,25852345,2020,0.348
Inner Mongolia,North,9,1951.0,2003.0,11.1,24049155,2020,0.374
Guizhou,Southwest,8,1902.0,1965.0,75.0,38562148,2020,0.207
Shanghai,East,8,1879.0,2012.0,62.5,24870895,2020,0.322
Hainan,South,5,1949.0,2004.0,80.0,10081232,2020,0.496
Tianjin,North,4,1951.0,1985.0,75.0,13866009,2020,0.288
Chongqing,Southwest,3,1901.0,1956.0,100.0,32054159,2020,0.094
Qinghai,Northwest,3,1949.0,1958.0,66.7,5923957,2020,0.506
Ningxia,Northwest,2,1958.0,1984.0,100.0,7202654,2020,0.278
Tibet Autonomous Region,Southwest,1,1985.0,1985.0,100.0,3648100,2020,0.274
